work_id,citation,year,venue,problem,representation,proposer_or_search,verifier_or_evaluator,exactness_guarantee,objective,benchmark,scientific_domain_support,handles_special_fn_piecewise_indexed,main_difference_from_this_method
neurewriter,"Chen X, Tian Y. Learning to Perform Local Rewriting for Combinatorial Optimization. NeurIPS 2019. arXiv:1810.00337",2019,NeurIPS,expression simplification + scheduling + VRP,Halide AST / combinatorial objects,RL region+rule policy (actor-critic),rewrite-rule application; Z3-simplify baseline,rule soundness if rules trusted; not fail-closed residual,shorter rewritten expression / task cost,Halide random pipelines; job scheduling; VRP,no physics,no,"Learned local rewriting over a fixed rule set; no UNKNOWN; no hashed scientific state; Halide not Sum/Piecewise physics."
eqsat_tate,"Tate R, Stepp M, Tatlock Z, Lerner S. Equality saturation: a new approach to optimization. POPL 2009 / LMCS 2011. arXiv:1012.1802",2009,POPL/LMCS,compiler optimization / translation validation,PEG / e-graph,equality saturation over trusted analyses,congruence + rewrite axioms,rewrite/equality soundness,extract profitable program,compiler IR case studies,no,no,"Trusted equalities not untrusted LLM; no residual UNKNOWN; not scientific compactification."
egg,"Willsey M, Nandi C, Wang YR, Flatt O, Tatlock Z, Panchekha P. egg: Fast and Extensible Equality Saturation. PACMPL 5(POPL) 2021. doi:10.1145/3434304",2021,POPL,general equality saturation library,e-graphs,equality saturation + e-class analyses,rewrite soundness + extraction cost,syntactic rewrite soundness,user cost (often AST size),Herbie/Tensat/Szalinski case studies,indirect via users,no native Piecewise physics,"Trusted rules; no LLM proposer; no fail-closed residual protocol; no physics benchmark."
guided_eqsat,"Koehler T, Goens A, Bhat S, Grosser T, Trinder P, Steuwer M. Guided Equality Saturation. PACMPL 8(POPL) 2024. doi:10.1145/3632900",2024,POPL,scale equality saturation with intermediate guides,e-graph; Lean 4; Rise IR,human-provided checkpoints then EqSat,e-graph / Lean,rewrite or Lean proof,complete rewrite/proof,Lean proofs; Rise optimizations,no,no,"Guides are human not LLM; Lean/Rise not physics Sum/Piecewise; we use residual CAS not e-graph."
lguess,"Peng W, Ji R, Xiong Y. Equality Saturation Guided by Large Language Models. arXiv:2511.00403. EGRAPHS 2025",2025,arXiv/EGRAPHS,multivariable polynomial factorization,polynomials + e-graphs,LLM high-level checkpoints + learned extraction,e-graph rewrite chains,rewrite-system soundness,successful factorization,320 polynomial tasks (authors),no,no special-fn/Piecewise/indexed,"Closest LLM+EqSat method; polynomials only; no hashed state machine; no physics compactification."
ruler,"Nandi C, Willsey M, et al. Rewrite Rule Inference Using Equality Saturation. PACMPL 5(OOPSLA) 2021. doi:10.1145/3485496",2021,OOPSLA,synthesize rewrite rules,e-graphs over domain grammar,enumeration + EqSat,SMT/model checking,validated rules,small powerful ruleset,bool/bv/rational vs CVC4,no,no,"Produces rules not an agent loop on one huge expression."
enumo,"Pal A, Saiki B, et al. Equality Saturation Theory Exploration a la Carte. OOPSLA 2023",2023,OOPSLA,programmable rule synthesis,e-graphs + DSL,Enumo recipes,domain validators,validated rules,ruleset power,Herbie/Szalinski case studies,no,no,"Rule synthesis DSL; not scientific compactification protocol."
herbie,"Panchekha P, Sanchez-Stern A, Wilcox JR, Tatlock Z. Automatically improving accuracy for floating point expressions. PLDI 2015. doi:10.1145/2737924.2737959",2015,PLDI,improve floating-point accuracy,FP AST + regimes,heuristic rewrite search,sampled error (not exact identity),numeric error estimate,bits of accuracy,numerical-methods examples; FPBench later,scientific numerics not symbolic identity,limited,"Opposite exactness culture: samples floats; we forbid numeric ZERO."
funsearch,"Romera-Paredes B, et al. Mathematical discoveries from program search with large language models. Nature 625:468-475 2024. doi:10.1038/s41586-023-06924-6",2024,Nature,discover programs for combinatorics/heuristics,Python functions,LLM evolutionary islands,deterministic scored evaluator,evaluator score (not symbolic identity),better constructions/heuristics,cap set; bin packing,math discovery not physics expressions,no,"Untrusted proposer + trusted score; not expression identity; no UNKNOWN residual."
ai_feynman,"Udrescu SM, Tegmark M. AI Feynman: A physics-inspired method for symbolic regression. Sci Adv 6:eaay2631 2020",2020,Sci. Adv.,symbolic regression from data,numeric tables -> formula,NN + physics heuristics,fit/error,numeric fit not identity,recover equations,Feynman Lectures 100 eqns,yes (data-driven),no Piecewise physics sums,"Discovers formulas from data; we rewrite given symbols."
alphageometry,"Trinh TH, Wu Y, Le QV, He H, Luong T. Solving olympiad geometry without human demonstrations. Nature 625:476-482 2024. doi:10.1038/s41586-023-06747-5",2024,Nature,Euclidean olympiad geometry,geometry DSL,neural LM trained on synthetic proofs,symbolic deduction engine,engine-checked geometry proof,solved IMO-AG problems,IMO-AG-30,no,no,"Neuro-symbolic proofs in geometry; not scientific compactification."
alphageometry2,"Chervonyi Y, et al. Gold-medalist Performance in Solving Olympiad Geometry with AlphaGeometry2. JMLR 26(241) 2025",2025,JMLR,extended olympiad geometry,extended geometry language,Gemini LM + search,symbolic engine,engine-checked proof,solve rate,IMO geometry 2000-2024,no,no,"Same family as AG; still geometry not physics CAS."
leandojo,"Yang K, et al. LeanDojo: Theorem Proving with Retrieval-Augmented Language Models. NeurIPS 2023 D&B",2023,NeurIPS D&B,Lean theorem proving,Lean goals/tactics,RAG LLM (ReProver),Lean kernel,kernel-checked proof,theorems proved,98k mathlib theorems,formal math not physics CAS,no,"Formal proofs in Lean; we are not a prover."
deepseek_prover_v2,"Ren ZZ, et al. DeepSeek-Prover-V2. arXiv:2504.21801 2025",2025,arXiv,Lean 4 proving,Lean,LLM + subgoal RL,Lean kernel,kernel-checked proof,pass@k,MiniF2F; PutnamBench; ProverBench,formal math,no,"SOTA neural prover; different object and guarantee."
alphaproof,"Hubert T, et al. Olympiad-level formal mathematical reasoning with reinforcement learning. Nature 2025. doi:10.1038/s41586-025-09833-y",2025,Nature,formal olympiad math,Lean,AlphaZero-style RL + TTRL,Lean kernel,kernel-checked proof,IMO/Putnam solve,IMO 2024; miniF2F; PutnamBench,formal math,no,"Stronger exactness (Lean kernel); not compactifying physics expressions."
dsp,"Jiang AQ, Welleck S, Zhou JP, et al. Draft Sketch and Prove. ICLR 2023. arXiv:2210.12283",2023,ICLR,autoformalize informal proofs,Isabelle,LLM informal draft + sketch,Sledgehammer/ATP,Isabelle-checked proof,theorems proved,miniF2F,formal math,no,"Informal-to-formal sketches; not CAS compactification."
tora,"Gou Z, Shao Z, Gong Y, et al. ToRA: A Tool-Integrated Reasoning Agent for Mathematical Problem Solving. ICLR 2024. arXiv:2309.17452",2024,ICLR,contest math answers,NL + Python/CAS traces,fine-tuned LLM tool-use,code execution / answer match,execution of code not identity of two expr,answer accuracy,MATH/GSM8K + 10 datasets,contest math,incidental via sympy,"LLM+CAS for answers; can confidently output wrong CAS use; no promote-on-ZERO state."
moxia,"Bruno A. Moxia (formerly AXIOM): A Trust-First Neuro-Symbolic Execution Architecture. arXiv:2606.00671 2026",2026,arXiv,NL math problems -> answers,regex routes + CAS schemas,LLM canonicalizer (not solver),deterministic CAS handler; abstain first-class,CAS handler correctness + abstain,answer + zero confident-wrong,MATH splits; lm-eval arithmetic,contest math,no large physics expr,"Closest trust-first LLM+CAS+abstain slogan; answers not compact forms; no hashed expression state; no Sum/Piecewise physics."
cas_fullsimplify,Wolfram FullSimplify / SymPy simplify (system documentation; not a paper),ongoing,systems,heuristic expression simplification,CAS internal IR,heuristic search / LeafCount,CAS internal; can be wrong vs intended branch,not fail-closed; no UNKNOWN-as-non-success UX,complexity function,none as AI bench,yes (physics users),yes,"Honest compactness baseline; no untrusted-agent protocol; no residual audit trail."
form_cadabra,FORM; Cadabra; xAct/xPerm (domain systems),ongoing,HEP/GR software,tensor/Dirac/trace compactification,index notation / FORM IR,deterministic algorithms,algebraic identities of the system,system semantics,compact tensor expr,user papers,yes,limited Piecewise,"Domain CAS without LLM proposer or fail-closed agent state."
