arm,id,seed,n_cand,max_D_attempted,best_closed_verdict,claimed_proven_any,notes
R1,D2-weighted-kernel,0,2,D2,ZERO,1,same D2 merge as R3-R5; unexpanded s(n) UNKNOWN
R3,D2-weighted-kernel,0,1,D2,ZERO,0,conservative skill found D2
R4,D2-weighted-kernel,0,1,D2,ZERO,0,same D2 merge; extra unparseable Inner/diag
R5,D2-weighted-kernel,0,2,D2,ZERO,0,same D2 merge; named r UNKNOWN until expand
R3-det,D2-weighted-kernel,0,1,D2,ZERO,0,named transforms suffice
R1,D2-shared-denominator,0,2,D3,ZERO,0,D2 merge ZERO; Lorentzian extra-assumption UNKNOWN
R3,D2-shared-denominator,0,1,D2,ZERO,0,
R4,D2-shared-denominator,0,1,D2,ZERO,0,also named K
R5,D2-shared-denominator,0,2,D5,ZERO,0,D2 ZERO; symmetric-G extra UNKNOWN
R3-det,D2-shared-denominator,0,1,D2,ZERO,0,named transforms suffice
R1,D3-thermal-pair,0,3,D3,ZERO,0,D1 factor ZERO; named master UNKNOWN unexpanded; cot parse-fail (cot not whitelisted)
R3,D3-thermal-pair,0,1,D1,ZERO,0,factor only no name
R4,D3-thermal-pair,0,1,D3,UNKNOWN,0,named PsiThermal not expanded
R5,D3-thermal-pair,0,2,D3,ZERO,0,named Phi plus expanded equivalent ZERO
R3-det,D3-thermal-pair,0,1,D1,ZERO,0,collect_common_factor
R1,D4-piecewise-generic-kernel,0,1,D4,UNKNOWN,1,drop Piecewise claimed_proven; engine undecided
R3,D4-piecewise-generic-kernel,0,1,D4,UNKNOWN,0,also proposed K(x,y) despite conservative prompt
R4,D4-piecewise-generic-kernel,0,1,D4,UNKNOWN,0,refused collapse; prose not a closed candidate
R5,D4-piecewise-generic-kernel,0,3,D4,UNKNOWN,0,confluence hypothesis; Limit not in parser
R3-det,D4-piecewise-generic-kernel,0,1,D0,n/a,0,no-op
R1,D5-index-pair,0,3,D5,UNKNOWN,0,orbit naming; X+X^T not expanded
R3,D5-index-pair,0,1,D5,UNKNOWN,0,prose only
R4,D5-index-pair,0,1,D5,UNKNOWN,0,Hadamard/transpose prose
R5,D5-index-pair,0,1,D5,UNKNOWN,0,P defined as original tautology; candidate prose
R3-det,D5-index-pair,0,1,D0,n/a,0,no-op
R1,C-fermi-poly-piecewise,0,1,D3,UNKNOWN,1,claimed recurrence -1/z; not ZERO
R5,C-fermi-poly-piecewise,0,1,D3,UNKNOWN,0,named Theta; kept piecewise; prose
R1,C-guo-sigma-abc,0,3,D4,unverified,1,two-kernel + drop Piecewise as limits; no full bytes; claimed_proven
R5,C-guo-sigma-abc,0,3,D5,unverified,0,shared V / F_master / index orbit; keep Piecewise until proved; no full bytes
R3,C-guo-sigma-abc,historical,1,D2,ZERO,0,2026-08-21 skill L2 named transforms; not re-run this session
